version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27;D28;F28
0.3;05914000;26.09.2021;Bundestagswahl;1042;1042 Alexander- / Alleestr.;26.09.2021 15:20:19 989;886;183;0;1069;324;1;4;320;6;318;43;41;111;96;30;30;60;53;23;24;27;22;16;9;0;9;0;2;4;3;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;3;0;1;0;18;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1043;1043 Ginsterheide;26.09.2021 15:20:19 989;640;263;0;903;317;1;6;311;2;315;77;79;97;88;21;25;49;49;34;34;22;16;3;1;0;0;0;0;5;3;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;13;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1044;1044 Polizeipräsidium;26.09.2021 15:20:19 989;706;266;0;972;338;2;4;334;2;336;70;67;105;108;31;38;56;49;38;33;17;17;4;3;0;6;0;0;4;2;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1051;1051 Höing;26.09.2021 15:20:19 989;661;450;0;1111;496;2;6;490;3;493;140;126;114;122;63;74;36;34;103;100;21;13;5;6;0;6;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;6;0
0.3;05914000;26.09.2021;Bundestagswahl;1052;1052 Fleyer Str.;26.09.2021 15:20:19 989;597;575;0;1172;437;6;3;434;1;436;167;157;103;119;52;54;26;22;62;65;9;9;7;1;0;2;0;1;5;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1053;1053 Tondernsiedlung;26.09.2021 15:20:19 989;447;344;0;791;312;2;3;309;0;312;72;75;77;94;48;47;43;37;46;37;5;1;4;3;0;5;0;3;5;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0;1;0;2;0;0;6;0
0.3;05914000;26.09.2021;Bundestagswahl;1054;1054 Lützowstr.;26.09.2021 15:20:19 989;547;390;0;937;395;1;4;391;0;395;141;115;109;113;48;64;29;25;45;46;7;14;6;3;0;3;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1055;1055 Bredelle;26.09.2021 15:20:19 989;670;551;0;1221;510;4;7;503;2;508;173;161;113;105;75;97;48;43;62;59;15;13;6;6;0;5;0;1;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1061;1061 Walddorfstr.;26.09.2021 15:20:19 989;677;583;0;1260;473;5;6;467;3;470;141;129;145;168;46;55;61;54;54;41;7;5;7;3;0;6;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1062;1062 Ascherothstr.;26.09.2021 15:20:19 989;762;518;0;1280;535;5;5;530;1;534;154;126;127;148;65;82;67;65;83;62;12;16;8;5;0;6;0;0;8;4;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;4;0
0.3;05914000;26.09.2021;Bundestagswahl;1063;1063 Boloh;26.09.2021 15:20:19 989;696;417;0;1113;489;1;5;484;7;482;138;127;153;156;52;54;50;49;65;54;10;17;6;5;0;2;0;2;5;3;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0
0.3;05914000;26.09.2021;Bundestagswahl;1064;1064 Haferkamp;26.09.2021 15:20:19 989;630;352;0;982;426;2;4;422;3;423;123;112;119;133;47;44;46;45;48;42;14;12;10;5;0;7;0;2;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;6;0;0;0;0;0;1;0;0;0;0;0;1;0;9;0;1;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1065;1065 Fachhochschule;26.09.2021 15:20:19 989;576;430;0;1006;353;0;2;351;3;350;86;78;107;97;35;40;44;40;32;39;22;15;6;4;0;9;0;2;6;4;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;2;4;0
0.3;05914000;26.09.2021;Bundestagswahl;1071;1071 Am Waldesrand;26.09.2021 15:20:19 989;572;426;0;998;394;1;0;394;1;393;126;104;108;129;40;53;43;45;49;28;11;14;6;3;0;2;0;1;3;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1072;1072 Alt-Emst;26.09.2021 15:20:19 989;706;517;0;1223;541;0;6;535;3;538;180;161;147;153;66;76;35;38;76;73;11;13;7;2;0;6;0;4;4;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;5;6;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1073;1073 Fritz-Steinhoff-Park;26.09.2021 15:20:19 989;747;390;0;1137;485;1;9;476;11;474;114;97;149;158;61;73;57;53;57;48;24;21;8;5;0;6;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0
0.3;05914000;26.09.2021;Bundestagswahl;1074;1074 Max-Planck-Str. / Haßley;26.09.2021 15:20:19 989;701;499;0;1200;398;6;4;394;2;396;122;102;113;111;38;44;56;58;34;34;14;14;5;2;0;14;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;9;0;0;4;0
0.3;05914000;26.09.2021;Bundestagswahl;1075;1075 Bissingheim;26.09.2021 15:20:19 989;571;498;0;1069;409;0;8;401;3;406;130;107;120;141;29;52;33;33;65;55;12;8;3;3;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0
0.3;05914000;26.09.2021;Bundestagswahl;1081;1081 Haldener Str.;26.09.2021 15:20:19 989;739;431;0;1170;513;5;6;507;1;512;118;112;162;169;55;60;56;61;63;54;27;24;8;4;0;8;0;5;4;3;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;11;6;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1082;1082 Rembergstr.;26.09.2021 15:20:19 989;868;338;0;1206;407;1;10;397;4;403;68;64;143;137;31;36;58;54;45;39;24;29;12;9;0;9;0;1;6;2;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;5;3;0;0;0;0;0;3;0;0;0;0;0;2;0;13;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1083;1083 Eickertstr.;26.09.2021 15:20:19 989;767;345;0;1112;354;6;5;349;2;352;81;71;113;110;45;50;34;34;37;38;10;10;15;7;0;7;0;4;4;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1084;1084 Bülowstr.;26.09.2021 15:20:19 989;691;353;0;1044;374;3;5;369;2;372;76;75;122;118;43;45;63;56;30;33;13;10;9;9;0;7;0;3;3;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;9;8;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;1085;1085 Eppenhauser Str.;26.09.2021 15:20:19 989;518;225;0;743;251;2;0;251;0;251;50;42;87;73;29;31;31;31;27;33;9;9;9;7;0;6;0;4;5;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1091;1091 Minervastr.;26.09.2021 15:20:19 989;613;196;0;809;345;1;3;342;4;341;40;37;121;122;24;34;60;54;56;46;17;16;10;6;0;6;0;2;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;3;0;0;0;1;0;2;0;4;0;2;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1092;1092 St.-Michael-Kirche;26.09.2021 15:20:19 989;1024;305;0;1329;534;1;2;532;10;524;55;52;186;162;26;33;72;62;108;114;42;49;30;20;0;8;0;3;5;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;3;0;0;0;1;0;2;0;0;0;0;0;1;0;11;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1093;1093 Stadtgarten;26.09.2021 15:20:19 989;665;518;0;1183;431;3;6;425;6;425;84;83;127;139;25;33;41;38;93;77;20;23;18;13;0;8;0;1;5;4;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;7;0
0.3;05914000;26.09.2021;Bundestagswahl;1094;1094 Sternwarte;26.09.2021 15:20:19 989;655;330;0;985;383;3;3;380;2;381;65;60;132;130;17;21;55;52;59;56;20;21;17;7;0;17;0;5;7;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;5;0
0.3;05914000;26.09.2021;Bundestagswahl;1101;1101 Cunosiedlung;26.09.2021 15:20:19 989;729;315;0;1044;409;3;5;404;6;403;67;61;141;126;41;40;66;69;43;37;17;23;7;5;0;6;0;4;4;4;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1102;1102 Kuhlerkamp;26.09.2021 15:20:19 989;694;515;0;1209;524;1;16;508;4;520;146;146;124;143;38;47;71;67;84;75;21;16;9;3;0;5;0;1;10;6;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1103;1103 Wehringhauser Str. / Philippshöhe;26.09.2021 15:20:19 989;420;59;0;479;192;1;8;184;5;187;31;25;65;51;11;20;37;33;12;23;15;15;5;3;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1104;1104 Södingstr.;26.09.2021 15:20:19 989;358;97;0;455;123;1;0;123;0;123;17;17;48;40;9;7;24;21;11;11;8;12;3;5;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1105;1105 Feuerwache Mitte;26.09.2021 15:20:19 989;563;192;0;755;314;0;4;310;1;313;37;30;100;102;23;23;33;36;60;59;22;19;24;8;0;11;0;5;5;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;2;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1106;1106 Wilhelmsplatz;26.09.2021 15:20:19 989;473;137;0;610;182;1;0;182;1;181;23;24;63;60;7;9;19;14;35;25;11;18;12;13;0;3;0;2;5;1;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;4;0
0.3;05914000;26.09.2021;Bundestagswahl;2111;2111 Brockhausen;26.09.2021 15:20:19 989;724;164;0;888;354;2;8;346;0;354;65;70;148;130;20;19;45;43;21;26;35;24;6;3;0;8;0;2;3;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;3;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2112;2112 Niedernhofstr.;26.09.2021 15:20:19 989;542;332;0;874;331;2;3;328;3;328;77;76;87;88;32;26;65;59;40;34;10;9;12;6;0;8;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;1;0;12;0;1;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2113;2113 Hilgenland;26.09.2021 15:20:19 989;501;261;0;762;297;0;6;291;4;293;78;68;114;113;21;26;39;35;21;23;9;7;5;2;0;4;0;1;2;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;2;0;5;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2114;2114 Hagener Str.;26.09.2021 15:20:19 989;756;517;0;1273;508;2;2;506;4;504;183;179;133;139;39;46;71;67;52;45;9;9;7;2;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7;0
0.3;05914000;26.09.2021;Bundestagswahl;2115;2115 Boele Kirche;26.09.2021 15:20:19 989;729;212;0;941;376;0;10;366;10;366;106;90;133;122;37;43;51;52;20;17;6;17;4;1;0;3;0;5;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;2116;2116 Allensteiner Str. / Hengstey;26.09.2021 15:20:19 989;640;375;0;1015;391;0;4;387;2;389;105;110;134;128;41;43;62;56;17;19;12;8;7;4;0;7;0;2;3;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2121;2121 Fritz-Steinhoff-Schule;26.09.2021 15:20:19 989;871;211;0;1082;450;1;12;438;9;441;104;95;154;149;37;40;74;78;22;24;20;17;8;4;0;7;0;5;5;3;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;7;5;0;1;0;0;0;0;0;0;0;2;0;0;0;7;0;0;5;0
0.3;05914000;26.09.2021;Bundestagswahl;2122;2122 Borgenfeldstr.;26.09.2021 15:20:19 989;511;217;0;728;298;0;3;295;3;295;68;58;106;105;32;36;42;45;26;20;11;12;6;3;0;2;0;3;3;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2123;2123 Knüwenstr.;26.09.2021 15:20:19 989;677;173;0;850;354;1;7;347;6;348;88;77;115;110;27;28;67;70;23;24;10;10;6;6;0;1;0;2;4;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;2;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2124;2124 Steinhausstr.;26.09.2021 15:20:19 989;633;168;0;801;340;1;8;332;4;336;73;66;123;109;21;25;72;74;13;18;15;15;6;3;0;5;0;1;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;4;0;0;0;1;0;1;0;0;0;0;0;0;0;10;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;2125;2125 Bathey;26.09.2021 15:20:19 989;459;186;0;645;305;1;2;303;1;304;74;66;105;105;26;33;54;58;19;18;11;9;6;2;0;2;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2126;2126 Garenfeld;26.09.2021 15:20:19 989;917;488;0;1405;707;6;7;700;7;700;213;185;211;212;73;89;83;81;62;61;21;24;17;9;0;16;0;4;12;3;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;7;7;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;3;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2131;2131 Helfer Str.;26.09.2021 15:20:19 989;574;283;0;857;350;1;3;347;8;342;87;76;104;102;24;28;62;61;34;32;15;19;7;5;0;4;0;2;9;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2132;2132 AWO-Heim Helfe;26.09.2021 15:20:19 989;768;236;0;1004;380;4;3;377;2;378;78;75;116;118;36;39;77;73;35;26;19;20;3;1;0;5;0;0;7;4;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;5;0;0;0;0;0;1;0;1;0;0;0;2;0;6;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;2133;2133 Louise-Schröder-Str.;26.09.2021 15:20:19 989;619;222;0;841;360;0;4;356;5;355;104;97;97;95;34;29;71;68;22;23;9;9;8;6;0;6;0;0;5;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2134;2134 Fley;26.09.2021 15:20:19 989;538;339;0;877;417;6;3;414;3;414;141;131;110;114;38;47;48;47;50;53;5;7;12;6;0;2;0;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;2135;2135 Buschstr.;26.09.2021 15:20:19 989;547;376;0;923;285;1;6;279;6;279;80;80;79;78;24;25;45;42;33;31;10;9;3;2;0;3;0;1;3;1;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2136;2136 Pappelstr.;26.09.2021 15:20:19 989;538;216;0;754;303;0;8;295;3;300;80;73;109;115;19;23;43;42;26;23;11;13;2;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2141;2141 Freiligrathstr.;26.09.2021 15:20:19 989;679;214;0;893;419;2;1;418;2;417;90;89;130;107;39;43;71;74;43;39;19;23;12;5;0;7;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;2;0;0;0;0;0;0;0;18;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;2142;2142 Sonntagstr.;26.09.2021 15:20:19 989;802;354;0;1156;511;3;9;502;10;501;123;114;148;141;38;51;97;92;46;46;17;16;14;7;0;13;0;4;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;2;0;0;0;1;0;0;0;3;0;1;3;0
0.3;05914000;26.09.2021;Bundestagswahl;2143;2143 Wilhelm-Leuschner-Str.;26.09.2021 15:20:19 989;679;219;0;898;458;5;13;445;11;447;118;114;176;161;33;36;42;43;38;40;8;7;12;6;0;6;0;1;4;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;10;5;0;0;0;0;0;1;0;0;0;0;0;1;0;19;0;3;3;0
0.3;05914000;26.09.2021;Bundestagswahl;2144;2144 Hügelstr.;26.09.2021 15:20:19 989;629;513;0;1142;387;4;4;383;3;384;121;100;110;107;33;47;47;45;47;56;7;6;0;1;0;11;0;0;12;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;5;3;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0
0.3;05914000;26.09.2021;Bundestagswahl;2145;2145 Hamecke;26.09.2021 15:20:19 989;609;382;0;991;403;3;2;401;3;400;132;137;122;118;37;32;59;50;27;29;8;7;6;6;0;4;0;1;3;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;1;4;0
0.3;05914000;26.09.2021;Bundestagswahl;2151;2151 Masurenstr. / Aehringhausen / Voßacker;26.09.2021 15:20:19 989;1040;409;0;1449;609;0;3;606;2;607;131;120;251;229;54;61;67;69;47;53;19;14;17;12;0;12;0;2;13;5;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;8;0;0;0;0;0;2;0;0;0;0;0;2;0;14;0;1;2;0
0.3;05914000;26.09.2021;Bundestagswahl;2152;2152 Vorhalle-Zentrum;26.09.2021 15:20:19 989;841;237;0;1078;486;1;12;474;6;480;102;97;185;166;31;27;79;74;27;27;29;28;9;4;0;11;0;2;6;3;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;2;0;0;0;0;0;1;0;2;0;0;0;0;0;33;0;0;3;0
